___를 세어 보세요,Count the ____s.
~(으)ㄹ지도 모르다,You don't know if ... (___ might happen)
~잖아,"I guess it is/is not... (unexpected, to self)"
가위바위보,scissors-rock-paper (game)
감자,potato 
개구리가 될지도 몰라,You might become a frog. (You don't know)
거미,spider
거위,goose
걷기 운동 할까요?,Shall we go walking?
걸어가다,to walk somewhere
걸어오다,to walk towards me
검은색,black (color)
고릴라,gorilla
고슴도치,hedgehog
곰 이잖아,"I guess it is a bear. (unexpected, to self)"
공작새,peacock
구강청결제,mouthwash 
구멍,hole
국,soup
국믈,soup broth
국수,noodles
굴러가다,to roll (on the ground b/c round)
귀뚜라미,cricket
그네,swing (at playground)
까마귀,crow
까치,magpie
꼭꼭,well; thoroughly (onomatopoeia)
꿀꺽,gulp gulp (onomatopoeia)
나무늘보,sloth
나방,moth
나팔,Korean traditional bugle-like instrument
낙타,camel
날아가다,"to fly (e.g., butterfly or airplane)"
네모,square
다녀올게요!,I'll be back soon! (polite)
다녀와!,See you soon! (when you return)
달님,moon (personified)
달려가다,to rush; to go in a hurry
달팽이,snail
당나귀,donkey
대단하다,to do great
도깨비,"Korean goblins, often playing tricks on humans"
독수리,vulture
돌고래,dolphin
동결건조 과일,freeze dried fruit
동그라미,circle
동글동글,round (onomatopoeia)
들어가다,to enter (from perspective of someone outside)
때리다,to hit someone 
때리지 마세요,don't hit
떼굴,"rolling (onomatopoeia; e.g., orange rolling on ground)"
똥 누다,to poop
똥구멍,butt hole (anatomy)
뛰지 마세요,don't run
뜨끈뜨끈,"emitting heat (e.g., if someone has fever; onomatopoeia)"
라즈베리 ,raspberry
로봇,robot
로켓,rocket
마름모,rhombus/diamond
마름모 모양,diamond shape
말린 과일,dried fruit
망토,"cape (e.g., superhero)"
먼저 갈게,"Goodbye (""I'll go first"", informal)"
멜론,"cantaloupe, honeydew (melon)"
모두 모여라.,"everyone, gather around"
모양,shape
모이다,to gather around
무,Daikon radish
무당벌레,ladybug
무스,moose
문어는 몸 색깔도 잘 바꿔요.,The octopus is also good at changing it's body color.
물개,seal
물다,to bite
물지 마.,Don’t bite. (informal)
미국너구리,raccoon
바구니,basket(?)
바닥,floor (the physical thing)
박쥐,bat (animal)
반달 모양,half circle shape
반딧불이,firefly
방울양배추,Brussels sprouts
방울토마토,cherry tomato
배추,nappa cabbage
뱀,snake
부엉이,owl
북,drum
브로콜리,broccoli 
블랙베리 ,blackberry
블록,blocks
비누,soap
비눗물,bubbles solutions; suds
비눗방울,bubbles; soap bubbles
비도 오는데 걸어왔어요?,You walked in this rain?
비둘기,pigeons
빠직빠직,cracking sound (onomatopoeia)
뿅,pop (onomatopoeia)
사과맛 치약,apple-flavored toothpaste
사슴,deer
사이좋게,friendly(?)
산새,mountain bird
산호초 ,coral (sea)
새싹,sprout (n)
새콤하다,sweet (equivalent to 달다)
샐러드,salad
생쥐,mouse
세다,to count
세모,triangle
세발자전거,tricycle
소리 지르다,to yell
소리 지르지 마세요,don't yell
소방차,fire truck
손이 더러워졌니!,"Wow, (their) hands became dirty!"
수염,facial hair
수탉,rooster
술래잡기,tag
숨다,"to hide (e.g., hide & seek)"
숨바꼭질,hide-and-seek
숲 속에,inside the forest/woods
스컹크,skunk
스쿠터 ,scooter (toy)
스폰지,sponge (for washing)
시금치,spinach
시리얼,"cereal (e.g., Cheerios)"
실로폰,xylophone
실룩실룩,"jiggling (onomatopoeia; e.g., elephant’s butt, variant 2)"
싹뚝싹뚝,cutting sound (onomatopoeia)
씰룩씰룩,"jiggling (onomatopoeia; e.g., elephant’s butt, variant 1)"
아니잖아,"I guess it's not so. (unexpected, to self)"
안녕히 다녀오세요.,I'll see you when you return. (polite)
알,egg (not food)
애벌레,caterpillar
애호박 ,zucchini 
앵무새,parrot
야크,yak (animal)
야호,yahoo
양배추,cabbage (western)
양상추,lettuce
얼른,quickly
얼음,ice
여기까지 걸어왔어요?,Did you walk all the way here?
연,kite
연못,pond
오렌지,orange (fruit)
오소리,badger
옥수수,corn
완두콩,peas
외각고래,narwhal (variant 1)
외뿔고래,narwhal (variant 2)
요만큼,"this much (e.g., I'll give this much of my candy to dad)"
용,dragon
울창하다,"to be thick or dense (e.g., thickly wooded)"
유니콘,unicorn
유령,ghost
이를 닦다,to brush your teeth
이파리 ,leaf (variant 2)
잎,leaf (variant 1)
자몽,grapefruit
잘 있어,"Goodbye (""Stay well"", informal)"
잠옷,pajamas
잠자리,dragonfly
장 보러 갔다 올게.,I'm going to go to the grocery store. (Be back soon.)
저는 심심할 때 걷는 걸 좋아해요.,I like walking when I'm bored
정말 신나는 하루였어.,That was a very interesting day. (informal)
주머니쥐,possum
집까지 걸어갈 수 있어요?,Can you walk to your house?
차다,to kick
차지 마세요,don't kick
착,sitting or placing sound (onomatopoeia)
치다,to hit something
치실,dental floss
치약,toothpaste
치타,cheetah
칫솔,toothbrush
커다랗다,to be big (equivalent to 커다)
코딱지,booger
코뿔소,rhino
코트,coat (clothing)
콘택트 렌즈 솔루션,contact lens solution
콘택트렌즈 ,contact lens
콧구멍,nostril
콧물,snot
콩,beans
콩깍지,soy (or pea) pod
크레용,crayon
타조,ostrich
턱받이,bib
트랄라,tra-la-la
팔랑,"flapping (onomatopoeia; e.g., elephant’s ears, butterfly’s wings)"
푸른나무,green trees
풀,grass
풍선,balloon
해마,seahorse
해파리,jellyfish
햄스터,hamster
햇볕이 쨍쨍하다,to be very bright (and hot) outside
호수,lake
활짝,"widely open (adv; e.g., 꽃들이 ____ 피었습니다)"
훌쩍훌쩍,"sniffing (e.g., crying, sick; onomatopoeia)"
옷을 벗다,to remove/take off clothes
얍!,Yes! (slang)
짠!,Abbreviation of 짜잔!
홀라당!,"all done! (literally, completely or thoroughly)"
간단하다,to be simple
복슬복슬,fluffy (onomatopoeia)
털,"wool, hair, feathers"
닮다 ,to resemble
곰인형,teddy bear
시소,seesaw
주먹밥,Korean style onigiri
